date,epidemiological_year,epidemiological_week
2014-08-19,2014,34
2014-08-20,2014,34
2014-08-21,2014,34
2014-08-22,2014,34
2014-08-23,2014,34
2014-08-24,2014,35
2014-08-25,2014,35
2014-08-26,2014,35
2014-08-27,2014,35
2014-08-28,2014,35
2014-08-29,2014,35
2014-08-30,2014,35
2014-08-31,2014,36
2014-09-01,2014,36
2014-09-02,2014,36
2014-09-03,2014,36
2014-09-04,2014,36
2014-09-05,2014,36
2014-09-06,2014,36
2014-09-07,2014,37
2014-09-08,2014,37
2014-09-09,2014,37
2014-09-10,2014,37
2014-09-11,2014,37
2014-09-12,2014,37
2014-09-13,2014,37
2014-09-14,2014,38
2014-09-15,2014,38
2014-09-16,2014,38
2014-09-17,2014,38
2014-09-18,2014,38
2014-09-19,2014,38
2014-09-20,2014,38
2014-09-21,2014,39
2014-09-22,2014,39
2014-09-23,2014,39
2014-09-24,2014,39
2014-09-25,2014,39
2014-09-26,2014,39
2014-09-27,2014,39
2014-09-28,2014,40
2014-09-29,2014,40
2014-09-30,2014,40
2014-10-01,2014,40
2014-10-02,2014,40
2014-10-03,2014,40
2014-10-04,2014,40
2014-10-05,2014,41
2014-10-06,2014,41
2014-10-07,2014,41
2014-10-08,2014,41
2014-10-09,2014,41
2014-10-10,2014,41
2014-10-11,2014,41
2014-10-12,2014,42
2014-10-13,2014,42
2014-10-14,2014,42
2014-10-15,2014,42
2014-10-16,2014,42
2014-10-17,2014,42
2014-10-18,2014,42
2014-10-19,2014,43
2014-10-20,2014,43
2014-10-21,2014,43
2014-10-22,2014,43
2014-10-23,2014,43
2014-10-24,2014,43
2014-10-25,2014,43
2014-10-26,2014,44
2014-10-27,2014,44
2014-10-28,2014,44
2014-10-29,2014,44
2014-10-30,2014,44
2014-10-31,2014,44
2014-11-01,2014,44
2014-11-02,2014,45
2014-11-03,2014,45
2014-11-04,2014,45
2014-11-05,2014,45
2014-11-06,2014,45
2014-11-07,2014,45
